ts,icao,lat,lon,alt,gs_adsb,trk_adsb,hdg,ias,mach,trk,gs,tas
1484136000.0,4063DE,52.41248,2.91,37000,469.0,54.3,42.0,249.0,0.772,,,
1484136000.0,471F56,52.09717,1.27371,12525,,,275.8,280.0,0.528,,,
1484136000.3,4070DE,50.99094,3.32893,6225,,,105.8,187.0,0.316,,,
1484136000.4,344156,52.2486,4.87479,6300,258.0,87.8,79.8,208.0,0.352,87.7,258.0,224.0
1484136000.4,4CA8EA,52.63685,3.38348,15650,412.0,107.2,102.1,249.0,0.5,,,
1484136000.8,4070DE,50.99081,3.32977,6225,,,105.5,188.0,0.32,,,
1484136000.8,44CE62,51.00473,4.91379,6025,237.0,210.3,221.3,228.0,0.384,210.4,238.0,244.0
1484136000.8,4CA304,52.80094,5.2014,38000,431.0,235.6,247.1,247.0,0.78,,,
1484136000.8,896459,52.33021,5.08675,3150,,,263.1,188.0,0.3,,,
1484136000.9,4063DE,52.41391,2.91271,37000,469.0,54.3,42.0,249.0,0.772,54.3,470.0,444.0
1484136000.9,4243D5,52.24316,5.4668,33000,458.0,53.3,38.3,274.0,0.772,53.4,458.0,450.0
1484136000.9,484132,52.9865,2.08991,30375,526.0,126.6,129.4,261.0,0.704,126.6,528.0,414.0
1484136000.9,4CA8EA,52.63651,3.38524,15625,412.0,107.3,102.1,250.0,0.504,107.2,412.0,318.0
1484136001.0,484B02,52.43602,4.98379,3925,262.0,102.3,100.0,208.0,0.336,102.5,262.0,216.0
1484136001.0,484CB8,51.00394,4.33722,23200,303.0,308.3,311.5,281.0,0.648,,,
1484136001.0,4D00D9,51.06761,2.79906,23000,418.0,105.2,95.4,238.0,0.552,,,
1484136001.2,344156,52.24865,4.87636,6275,258.0,87.8,79.8,208.0,0.352,,,
1484136001.2,4007F4,51.92601,3.27278,40000,421.0,252.9,262.6,240.0,0.796,,,
1484136001.2,896063,50.70554,4.28833,26675,,,91.8,300.0,0.74,,,
1484136001.2,896459,52.33012,5.08621,3150,,,263.1,188.0,0.3,,,
1484136001.3,49D2E4,52.69446,4.19296,43000,365.0,289.8,291.4,204.0,0.732,289.7,366.0,424.0
1484136001.4,4063DE,52.41449,2.91443,37000,469.0,54.3,42.0,249.0,0.772,54.3,470.0,444.0
1484136001.4,4243D5,52.24367,5.4679,33000,458.0,53.3,38.3,274.0,0.772,53.4,458.0,450.0
1484136001.4,4CA8EA,52.63628,3.38646,15600,412.0,107.3,102.1,250.0,0.504,107.2,412.0,318.0
1484136001.4,8880F7,50.7532,5.0267,34975,,,94.6,295.0,0.864,,,
1484136001.8,4CA304,52.79979,5.19867,38000,431.0,235.6,247.1,247.0,0.78,,,
1484136001.9,4063DE,52.41499,2.91557,37000,,,42.0,249.0,0.772,,,
1484136002.0,4CA8EA,52.63596,3.38826,15575,,,102.1,249.0,0.5,107.4,412.0,318.0
1484136002.0,8880F7,50.75283,5.02914,34975,,,94.6,295.0,0.864,,,
1484136002.1,4CA5F7,50.59134,3.60797,37000,,,217.3,254.0,0.784,,,
1484136002.1,896063,50.70502,4.29199,26675,,,91.8,300.0,0.74,,,
1484136002.2,4006AA,49.19114,3.66221,35500,391.0,310.0,314.3,290.0,0.856,309.9,392.0,492.0
1484136002.2,484160,52.32164,4.89347,1475,122.0,267.2,271.4,152.0,0.236,,,
1484136002.2,4CA304,52.79933,5.1976,38000,431.0,235.6,247.1,247.0,0.78,,,
1484136002.3,4007F4,51.92544,3.26977,40000,,,262.6,241.0,0.796,,,
1484136002.5,484B02,52.43565,4.98654,3900,262.0,102.3,100.0,208.0,0.336,102.3,262.0,216.0
1484136002.5,8880F7,50.75246,5.03159,34975,579.0,103.1,94.6,295.0,0.864,,,
1484136002.6,896063,50.70484,4.29352,26675,523.0,102.1,91.8,300.0,0.74,102.1,524.0,444.0
1484136002.7,4CA304,52.79892,5.19653,38000,431.0,235.6,247.1,247.0,0.78,,,
1484136002.8,406890,51.74575,2.06589,27150,318.0,270.5,280.4,270.0,0.68,,,
1484136002.9,484132,52.98357,2.09643,30325,526.0,126.7,129.4,260.0,0.7,126.7,526.0,412.0
1484136003.0,484B02,52.43551,4.98779,3900,263.0,102.5,100.0,208.0,0.336,,,
1484136003.0,4B86D0,50.58194,7.02383,23100,,,285.6,281.0,0.648,,,
1484136003.1,344156,52.24874,4.8806,6225,258.0,87.8,80.0,208.0,0.352,,,
1484136003.1,484160,52.32161,4.8925,1475,122.0,267.2,271.4,151.0,0.236,267.4,122.0,152.0
1484136003.1,4B17A0,48.72688,3.95142,28000,,,329.8,262.0,0.672,,,
1484136003.2,4007F4,51.92497,3.26733,40000,421.0,253.0,262.6,241.0,0.796,,,
1484136003.2,4CA304,52.79824,5.19489,38000,431.0,235.6,247.1,247.0,0.78,,,
1484136003.2,896459,52.32974,5.08408,3150,,,264.4,188.0,0.3,,,
1484136003.4,4243D5,52.24618,5.47347,33000,458.0,53.3,38.3,274.0,0.772,53.4,458.0,450.0
1484136003.6,484CB8,51.00622,4.33197,23150,303.0,308.3,311.5,281.0,0.648,308.3,304.0,396.0
1484136003.6,4CA304,52.79778,5.19379,38000,431.0,235.6,247.1,247.0,0.78,,,
1484136003.7,44CE72,51.1371,4.75367,6275,,,60.1,208.0,0.352,66.6,258.0,226.0
1484136003.8,4CA8EA,52.6349,3.39363,15525,412.0,107.3,102.0,250.0,0.5,107.4,412.0,318.0
1484136004.0,344156,52.24879,4.88217,6200,258.0,87.8,80.0,208.0,0.352,,,
1484136004.0,406890,51.74574,2.06328,27100,,,280.2,270.0,0.68,270.5,318.0,406.0
1484136004.2,400940,52.119,6.01814,38050,,,271.9,248.0,0.784,,,
1484136004.2,44CE72,51.13735,4.75456,6275,,,60.1,208.0,0.352,66.6,258.0,226.0
1484136004.2,4CA702,50.28428,3.09518,17275,,,41.5,248.0,0.512,,,
1484136004.3,4007F4,51.92427,3.2638,40000,421.0,253.0,262.6,241.0,0.8,,,
1484136004.5,406890,51.74575,2.06207,27100,,,280.2,270.0,0.68,270.5,318.0,406.0
1484136004.5,4CA304,52.79663,5.19112,38000,431.0,235.6,247.1,247.0,0.78,,,
1484136004.6,8880F7,50.75125,5.03983,34975,579.0,103.1,94.6,295.0,0.86,103.0,580.0,496.0
1484136004.7,4070DE,50.98992,3.33618,6175,235.0,102.5,105.3,181.0,0.308,,,
1484136004.8,4063DE,52.41852,2.92358,37000,469.0,54.3,42.0,249.0,0.768,54.3,470.0,444.0
1484136004.8,4B86D0,50.5822,7.01954,23050,,,285.6,281.0,0.648,,,
1484136004.8,4CA8EA,52.63433,3.39666,15475,413.0,107.5,102.0,250.0,0.5,107.4,412.0,318.0
1484136004.9,484B02,52.435,4.99138,3875,263.0,102.3,100.2,210.0,0.34,102.3,262.0,216.0
1484136004.9,4CA304,52.79622,5.18997,38000,431.0,235.6,247.1,247.0,0.78,,,
1484136005.2,406FDA,52.65351,5.64509,33000,,,100.4,276.0,0.78,,,
1484136005.3,4007F4,51.92372,3.26073,40000,421.0,253.0,262.6,241.0,0.796,,,
1484136005.3,4CA8EA,52.6341,3.39784,15475,413.0,107.5,102.0,250.0,0.5,107.4,412.0,318.0
1484136005.4,344156,52.24883,4.88487,6175,258.0,87.8,80.0,208.0,0.352,87.9,258.0,224.0
1484136005.4,484B02,52.43481,4.99242,3875,263.0,102.3,100.2,210.0,0.34,102.3,262.0,216.0
1484136005.4,4CA304,52.79576,5.1889,38000,431.0,235.6,247.1,247.0,0.78,,,
1484136005.4,896063,50.70344,4.30397,26650,523.0,102.1,91.9,300.0,0.74,,,
1484136005.5,406890,51.74575,2.05971,27075,,,280.2,270.0,0.676,,,
1484136005.6,4B17A0,48.72977,3.94763,28000,,,329.9,262.0,0.672,,,
1484136005.6,4CA741,52.8002,3.48862,37000,438.0,47.8,35.7,245.0,0.76,47.8,438.0,442.0
1484136005.7,406AE3,53.606,3.55871,38000,,,223.2,236.0,0.748,,,
1484136005.7,4B86D0,50.58236,7.01722,23025,,,285.5,281.0,0.648,,,
1484136005.7,4CA8EA,52.63376,3.39966,15450,413.0,107.5,102.0,249.0,0.5,,,
1484136006.0,484132,52.97914,2.10594,30250,521.0,126.6,129.4,259.0,0.696,,,
1484136006.0,4CA304,52.79508,5.18727,38000,431.0,235.6,247.1,246.0,0.78,,,
1484136006.1,484CB8,51.00836,4.32846,23100,303.0,308.3,311.5,280.0,0.648,308.3,304.0,396.0
1484136006.1,4B17A0,48.73032,3.94756,28000,,,329.9,262.0,0.672,,,
1484136006.2,4CA8EA,52.63353,3.4008,15425,413.0,107.5,102.0,249.0,0.5,,,
1484136006.5,484132,52.97832,2.10587,30250,521.0,126.6,129.4,259.0,0.696,,,
1484136006.5,484B02,52.43463,4.99431,3875,263.0,102.3,100.2,208.0,0.336,102.3,262.0,216.0
1484136006.7,344156,52.24893,4.88797,6125,259.0,87.8,80.0,207.0,0.352,,,
1484136006.7,4CA8EA,52.63322,3.40262,15400,413.0,107.6,101.8,249.0,0.5,107.6,412.0,316.0
1484136006.9,484B02,52.43445,4.99535,3875,263.0,102.5,100.2,209.0,0.34,102.3,264.0,218.0
1484136007.0,484132,52.97761,2.10906,30225,521.0,126.6,129.4,259.0,0.692,,,
1484136007.0,484160,52.32147,4.88892,1425,118.0,265.6,271.6,159.0,0.244,266.1,120.0,160.0
1484136007.0,4CA304,52.79393,5.18456,38000,431.0,235.6,247.1,246.0,0.776,,,
1484136007.1,3C6DC8,50.66848,4.95558,38000,,,305.9,247.0,0.78,,,
1484136007.1,4CA5F7,50.58101,3.6004,37000,495.0,205.0,217.1,254.0,0.784,,,
1484136007.3,4CA8EA,52.63284,3.40439,15400,413.0,107.6,101.8,249.0,0.5,107.6,412.0,316.0
1484136007.4,484B02,52.4343,4.99619,3850,263.0,102.5,100.2,209.0,0.34,102.3,264.0,218.0
1484136007.4,4CA304,52.79347,5.18349,38000,431.0,235.6,247.1,246.0,0.776,,,
1484136007.4,4CA741,52.80295,3.49358,37000,438.0,47.8,35.7,244.0,0.756,,,
1484136007.6,484CB8,51.00961,4.32503,23075,303.0,308.3,311.5,281.0,0.648,,,
1484136007.6,4CAA57,50.20244,6.0578,29425,348.0,32.2,19.2,269.0,0.708,,,
1484136007.7,4840D5,52.2068,4.47803,5975,249.0,252.5,260.3,261.0,0.44,252.6,250.0,280.0
1484136007.7,4B86D0,50.58261,7.01289,22975,,,285.5,280.0,0.648,275.3,328.0,394.0
1484136007.7,4CA5F7,50.57975,3.59951,37000,,,217.1,254.0,0.784,,,
1484136007.8,344156,52.24896,4.88998,6100,,,80.2,207.0,0.348,87.9,260.0,222.0
1484136007.8,4CA8EA,52.63261,3.40561,15375,413.0,107.6,101.6,249.0,0.5,107.6,412.0,316.0
1484136008.0,4CA741,52.8035,3.49457,37000,438.0,47.8,35.9,246.0,0.76,47.8,438.0,444.0
1484136008.1,4B86D0,50.58266,7.01195,22950,,,285.5,280.0,0.648,275.3,328.0,394.0
1484136008.2,4007F4,51.92199,3.25172,40000,421.0,252.9,262.6,241.0,0.796,,,
1484136008.3,4CA304,52.7926,5.18135,38000,431.0,235.6,247.1,246.0,0.776,,,
1484136008.4,484CB8,51.01039,4.32334,23075,303.0,308.3,311.5,281.0,0.648,,,
1484136008.4,76CD62,50.58911,5.94732,33000,,,91.9,285.0,0.8,,,
1484136008.5,400940,52.11795,6.00464,38050,411.0,262.7,271.9,248.0,0.784,,,
1484136008.5,4CA741,52.8043,3.49609,37000,438.0,47.8,35.9,246.0,0.76,47.8,438.0,444.0
1484136008.7,896459,52.32884,5.0779,3100,,,268.4,183.0,0.292,,,
1484136008.8,4CA304,52.79191,5.17966,38000,431.0,235.6,247.1,246.0,0.776,,,
1484136008.9,471F60,50.55694,7.41956,26025,,,287.1,297.0,0.724,,,
1484136008.9,484CB8,51.0108,4.32319,23050,303.0,308.3,311.5,281.0,0.648,,,
1484136008.9,896063,50.70168,4.31703,26600,523.0,102.1,91.8,300.0,0.74,,,
1484136009.3,4CA304,52.79123,5.17807,38000,431.0,235.6,247.1,246.0,0.776,,,
1484136009.3,4CAA57,50.20487,6.06022,29350,,,19.2,269.0,0.708,,,
1484136009.4,4CA741,52.80537,3.49805,37000,438.0,47.8,35.9,245.0,0.76,47.8,438.0,444.0
1484136009.5,44CE62,50.99744,4.90495,5800,,,237.1,230.0,0.384,,,
1484136009.5,484132,52.97403,2.1155,30125,518.0,126.7,129.4,259.0,0.692,126.7,520.0,408.0
1484136009.7,344156,52.24902,4.89347,6050,260.0,87.8,80.3,207.0,0.348,,,
1484136009.7,4CA8EA,52.63147,3.41156,15300,,,101.4,249.0,0.5,107.6,412.0,316.0
1484136009.8,896063,50.70117,4.32074,26600,,,91.9,300.0,0.74,102.1,524.0,444.0
1484136009.9,406AE3,53.59862,3.55149,38000,,,223.2,236.0,0.752,,,
1484136009.9,4840D5,52.20607,4.47426,5975,249.0,252.5,260.3,261.0,0.44,,,
1484136009.9,484132,52.97342,2.11876,30100,518.0,126.7,129.4,259.0,0.692,126.7,520.0,408.0
1484136010.1,44CE62,50.997,4.9041,5800,,,237.1,230.0,0.384,,,
1484136010.2,4CA8EA,52.63124,3.41278,15275,,,101.4,249.0,0.5,107.6,412.0,316.0
1484136010.3,4007F4,51.92087,3.24575,40000,421.0,252.9,262.4,241.0,0.796,,,
1484136010.4,406AE3,53.59753,3.55047,38000,,,223.2,236.0,0.752,,,
1484136010.4,4840D5,52.20573,4.47324,5975,249.0,252.5,260.3,261.0,0.44,,,
1484136010.4,896063,50.70093,4.32251,26600,,,91.9,300.0,0.74,102.1,524.0,444.0
1484136010.6,484B02,52.43341,5.00255,3825,264.0,102.5,100.0,211.0,0.34,102.3,264.0,220.0
1484136011.2,484B02,52.43328,5.00372,3825,264.0,102.5,100.0,211.0,0.34,102.3,264.0,220.0
1484136011.2,4951CE,54.23836,3.62949,36000,437.0,25.7,11.8,261.0,0.788,,,
1484136011.6,344156,52.24911,4.89778,6000,260.0,87.8,80.3,208.0,0.348,87.9,260.0,222.0
1484136012.0,44CE62,50.9957,4.90173,5750,228.0,228.9,239.1,231.0,0.388,,,
1484136012.0,484CB8,51.01352,4.31793,23000,303.0,308.3,311.5,281.0,0.648,308.3,304.0,396.0
1484136012.0,4CA8EA,52.63019,3.41816,15225,412.0,107.8,101.4,246.0,0.492,107.8,412.0,310.0
1484136012.3,4007F4,51.91971,3.23971,40000,,,262.4,241.0,0.796,,,
1484136012.3,44CE72,51.14113,4.76859,6075,,,59.6,216.0,0.364,66.8,258.0,232.0
1484136012.5,484CB8,51.01396,4.31637,23000,303.0,308.3,311.5,281.0,0.648,308.3,304.0,396.0
1484136012.6,344156,52.24915,4.89777,5975,260.0,87.8,80.2,208.0,0.352,,,
1484136012.6,484160,52.32129,4.88373,1375,111.0,266.9,272.8,140.0,0.216,266.3,110.0,142.0
1484136012.6,4CA5F7,50.56961,3.5921,37000,495.0,205.0,217.1,254.0,0.784,,,
1484136012.8,4007F4,51.91948,3.23853,40000,421.0,252.9,262.4,241.0,0.796,,,
1484136012.8,406890,51.74584,2.04224,26850,,,280.2,271.0,0.676,,,
1484136013.0,484160,52.32129,4.88373,1350,111.0,266.9,272.8,140.0,0.216,266.3,110.0,142.0
1484136013.2,344156,52.24916,4.89896,5950,260.0,87.8,80.2,208.0,0.352,,,
1484136013.2,4007F4,51.91929,3.23728,40000,421.0,252.9,262.4,241.0,0.796,,,
1484136013.3,4070DE,50.98797,3.35068,6000,,,105.5,184.0,0.312,101.8,236.0,198.0
1484136013.3,44CE72,51.14159,4.77037,6025,,,58.9,214.0,0.36,,,
1484136013.5,484CB8,51.01487,4.3145,22975,302.0,308.4,311.5,281.0,0.648,308.3,304.0,396.0
1484136013.5,4CA8EA,52.62926,3.42295,15175,412.0,107.8,101.1,246.0,0.492,,,
1484136013.6,4CA5F7,50.5675,3.59058,37000,,,217.1,254.0,0.784,,,
1484136013.8,484B02,52.43257,5.00854,3800,264.0,102.5,100.0,209.0,0.34,102.5,264.0,218.0
1484136014.0,4CA8EA,52.62903,3.42412,15150,412.0,107.8,101.1,246.0,0.492,,,
1484136014.2,4007F4,51.91859,3.23375,40000,,,262.4,241.0,0.796,,,
1484136014.4,896063,50.69888,4.33731,26550,523.0,102.1,91.9,300.0,0.74,,,
1484136014.5,4B86D0,50.58357,6.99677,22775,328.0,275.2,285.5,280.0,0.644,,,
