ts,icao,lat,lon,alt,vw,dw,vwx,vwy
1484136000.0,4063DE,52.41248,2.91,37000,52.09,122.69,43.84,-28.13
1484136000.4,344156,52.2486,4.87479,6300,23.31,132.21,17.27,-15.66
1484136000.4,4CA8EA,52.63685,3.38348,15650,53.51,122.72,45.02,-28.92
1484136000.8,44CE62,51.00473,4.91379,6025,24.67,111.87,22.89,-9.19
1484136000.8,4CA304,52.80094,5.2014,38000,46.12,140.51,29.33,-35.6
1484136000.9,4063DE,52.41391,2.91271,37000,52.09,122.69,43.84,-28.13
1484136000.9,4243D5,52.24316,5.4668,33000,61.1,131.84,45.52,-40.75
1484136000.9,484132,52.9865,2.08991,30375,59.62,116.59,53.32,-26.69
1484136000.9,4CA8EA,52.63651,3.38524,15625,53.08,123.32,44.36,-29.16
1484136001.0,484B02,52.43602,4.98379,3925,22.14,114.14,20.2,-9.05
1484136001.0,484CB8,51.00394,4.33722,23200,48.24,141.89,29.77,-37.96
1484136001.0,4D00D9,51.06761,2.79906,23000,53.56,138.51,35.48,-40.12
1484136001.2,344156,52.24865,4.87636,6275,23.34,132.12,17.31,-15.65
1484136001.2,4007F4,51.92601,3.27278,40000,41.94,143.08,25.19,-33.53
1484136001.3,49D2E4,52.69446,4.19296,43000,28.23,122.1,23.92,-15.0
1484136001.4,4063DE,52.41449,2.91443,37000,52.09,122.69,43.84,-28.13
1484136001.4,4243D5,52.24367,5.4679,33000,61.1,131.84,45.52,-40.75
1484136001.4,4CA8EA,52.63628,3.38646,15600,53.14,123.29,44.42,-29.17
1484136001.8,4CA304,52.79979,5.19867,38000,46.12,140.51,29.33,-35.6
1484136002.2,4006AA,49.19114,3.66221,35500,54.89,150.25,27.24,-47.65
1484136002.2,484160,52.32164,4.89347,1475,17.89,106.29,17.17,-5.02
1484136002.2,4CA304,52.79933,5.1976,38000,46.12,140.51,29.33,-35.6
1484136002.5,484B02,52.43565,4.98654,3900,22.18,114.12,20.24,-9.06
1484136002.5,8880F7,50.75246,5.03159,34975,59.13,142.73,35.81,-47.05
1484136002.6,896063,50.70484,4.29352,26675,60.66,144.27,35.42,-49.24
1484136002.7,4CA304,52.79892,5.19653,38000,46.12,140.51,29.33,-35.6
1484136002.8,406890,51.74575,2.06589,27150,54.64,131.38,40.99,-36.12
1484136002.9,484132,52.98357,2.09643,30325,60.45,117.23,53.75,-27.65
1484136003.0,484B02,52.43551,4.98779,3900,22.78,115.02,20.64,-9.63
1484136003.1,344156,52.24874,4.8806,6225,23.07,131.33,17.32,-15.24
1484136003.1,484160,52.32161,4.8925,1475,17.38,106.73,16.65,-5.0
1484136003.2,4007F4,51.92497,3.26733,40000,42.02,141.87,25.95,-33.05
1484136003.2,4CA304,52.79824,5.19489,38000,46.12,140.51,29.33,-35.6
1484136003.4,4243D5,52.24618,5.47347,33000,61.1,131.84,45.52,-40.75
1484136003.6,484CB8,51.00622,4.33197,23150,48.09,141.93,29.65,-37.85
1484136003.6,4CA304,52.79778,5.19379,38000,46.12,140.51,29.33,-35.6
1484136003.8,4CA8EA,52.6349,3.39363,15525,53.41,123.5,44.54,-29.48
1484136004.0,344156,52.24879,4.88217,6200,23.1,131.25,17.37,-15.23
1484136004.3,4007F4,51.92427,3.2638,40000,42.02,141.87,25.95,-33.05
1484136004.5,4CA304,52.79663,5.19112,38000,46.12,140.51,29.33,-35.6
1484136004.6,8880F7,50.75125,5.03983,34975,59.13,142.73,35.81,-47.05
1484136004.7,4070DE,50.98992,3.33618,6175,19.77,87.92,19.76,0.72
1484136004.8,4063DE,52.41852,2.92358,37000,52.09,122.69,43.84,-28.13
1484136004.8,4CA8EA,52.63433,3.39666,15475,54.23,124.06,44.93,-30.37
1484136004.9,484B02,52.435,4.99138,3875,21.57,113.49,19.79,-8.6
1484136004.9,4CA304,52.79622,5.18997,38000,46.12,140.51,29.33,-35.6
1484136005.3,4007F4,51.92372,3.26073,40000,42.02,141.87,25.95,-33.05
1484136005.3,4CA8EA,52.6341,3.39784,15475,54.23,124.06,44.93,-30.37
1484136005.4,344156,52.24883,4.88487,6175,23.12,131.17,17.41,-15.22
1484136005.4,484B02,52.43481,4.99242,3875,21.57,113.49,19.79,-8.6
1484136005.4,4CA304,52.79576,5.1889,38000,46.12,140.51,29.33,-35.6
1484136005.4,896063,50.70344,4.30397,26650,60.4,143.98,35.52,-48.85
1484136005.6,4CA741,52.8002,3.48862,37000,47.38,130.15,36.21,-30.55
1484136005.7,4CA8EA,52.63376,3.39966,15450,54.87,123.79,45.6,-30.51
1484136006.0,484132,52.97914,2.10594,30250,58.97,116.57,52.74,-26.38
1484136006.0,4CA304,52.79508,5.18727,38000,45.89,141.52,28.55,-35.93
1484136006.1,484CB8,51.00836,4.32846,23100,47.26,142.11,29.03,-37.3
1484136006.2,4CA8EA,52.63353,3.4008,15425,54.92,123.76,45.66,-30.52
1484136006.5,484132,52.97832,2.10587,30250,58.97,116.57,52.74,-26.38
1484136006.5,484B02,52.43463,4.99431,3875,22.63,112.86,20.85,-8.79
1484136006.7,344156,52.24893,4.88797,6125,23.92,129.12,18.56,-15.09
1484136006.7,4CA8EA,52.63322,3.40262,15400,55.3,124.65,45.49,-31.44
1484136006.9,484B02,52.43445,4.99535,3875,22.19,114.36,20.22,-9.15
1484136007.0,484132,52.97761,2.10906,30225,59.06,116.59,52.81,-26.43
1484136007.0,484160,52.32147,4.88892,1425,23.98,106.94,22.94,-6.99
1484136007.0,4CA304,52.79393,5.18456,38000,45.89,141.52,28.55,-35.93
